song_text,processed_text
"1. Кино апрель
Над землей - мороз,
Что не тронь - все лед,
Лишь во сне моем поет капель.
А снег идет стеной,
А снег идет весь день,
А за той стеной стоит апрель.

А он придет и приведет за собой весну,
И рассеет серых туч войска.
А когда мы все посмотрим в глаза его,
На нас из глаз его посмотрит тоска.
И откроются двери домов,
Да ты садись, а то в ногах правды нет.
А когда мы все посмотрим в глаза его,
То увидим в тех глазах Солнца свет.

На теле ран не счесть,
Нелегки шаги,
Лишь в груди горит звезда.
И умрет апрель,
И родится вновь,
И придет уже навсегда.

А он придет и приведет за собой весну,
И рассеет серых туч войска.
А когда мы все посмотрим в глаза его,
На нас из глаз его посмотрит тоска.
И откроются двери домов,
Да ты садись, а то в ногах правды нет.
А когда мы все посмотрим в глаза его,
То увидим в тех глазах Солнца свет.",кино апрель земля мороз тронуть весь лед лишь сон петь капля снег идти стена снег идти весь день стена стоить апрель прийти привести весна рассеять серый туча войско весь посмотреть глаз глаз посмотреть тоска открыться дверь дом садиться нога правда весь посмотреть глаз увидеть глаз солнце свет тело рана счесть нелегки шаг лишь грудь гореть звезда умереть апрель родиться вновь прийти навсегда прийти привести весна рассеять серый туча войско весь посмотреть глаз глаз посмотреть тоска открыться дверь дом садиться нога правда весь посмотреть глаз увидеть глаз солнце свет
"Кино -группа крови
Теплое место, но улицы ждут
Отпечатков наших ног.
Звездная пыль - на сапогах.
Мягкое кресло, клетчатый плед,
Не нажатый вовремя курок.
Солнечный день - в ослепительных снах.

Группа крови - на рукаве,
Мой порядковый номер - на рукаве,
Пожелай мне удачи в бою, пожелай мне:
Не остаться в этой траве,
Не остаться в этой траве.
Пожелай мне удачи, пожелай мне удачи!

И есть чем платить, но я не хочу
Победы любой ценой.
Я никому не хочу ставить ногу на грудь.
Я хотел бы остаться с тобой,
Просто остаться с тобой,
Но высокая в небе звезда зовет меня в путь.

Группа крови - на рукаве,
Мой порядковый номер - на рукаве,
Пожелай мне удачи в бою, пожелай мне:
Не остаться в этой траве,
Не остаться в этой траве.
Пожелай мне удачи, пожелай мне удачи!",кино группа кровь теплый место улица ждать отпечаток наш нога звездный пыль сапог мягкий кресло клетчатый плед нажать вовремя курок солнечный день ослепительный сон группа кровь рукав порядковый номер рукав пожелать удача бой пожелать остаться трава остаться трава пожелать удача пожелать удача платить хотеть победа любой цена никто хотеть ставить нога грудь хотеть остаться просто остаться высокий небо звезда звать путь группа кровь рукав порядковый номер рукав пожелать удача бой пожелать остаться трава остаться трава пожелать удача пожелать удача
"Кино - Мама, мы все сошли с ума

Зерна упали в землю, зерна просят дождя.
Им нужен дождь.
Разрежь мою грудь, посмотри мне внутрь,
Ты увидишь, там все горит огнем.
Через день будет поздно, через час будет поздно,
Через миг будет уже не встать.
Если к дверям не подходят ключи, вышиби двери плечом.

Мама, мы все тяжело больны...
Мама, я знаю, мы все сошли с ума...

Сталь между пальцев, сжатый кулак.
Удар выше кисти, терзающий плоть,
Но вместо крови в жилах застыл яд, медленный яд.
Разрушенный мир, разбитые лбы, разломанный надвое хлеб.
И вот кто-то плачет, а кто-то молчит,
А кто-то так рад, кто-то так рад...

Мама, мы все тяжело больны...
Мама, я знаю, мы все сошли с ума...

Ты должен быть сильным, ты должен уметь сказать:
Руки прочь, прочь от меня!
Ты должен быть сильным, иначе зачем тебе быть.
Что будет стоить тысячи слов,
Когда важна будет крепость руки?
И вот ты стоишь на берегу и думаешь: ""Плыть или не плыть?""

Мама, мы все тяжело больны...
Мама, я знаю, мы все сошли с ума...",кино мама весь сойти зерно упасть земля зерно просить дождь нужный дождь разрезать грудь посмотреть внутрь увидеть весь гореть огонь день поздно час поздно миг встать дверь подходить ключ вышибить дверь плечо мама весь тяжело больной мама знать весь сойти сталь палец сжать кулак удар выше кисть терзать плоть вместо кровь жила застынуть медленный разрушить мир разбитый лоб разломать надвое хлеб плакать молчать рад рад мама весь тяжело больной мама знать весь сойти должный сильный должный уметь сказать рука прочь прочь должный сильный иначе стоить тысяча слово важный крепость рука стоить берег думать плыть плыть мама весь тяжело больной мама знать весь сойти
"Кино - ночь
За окнами солнце, за окнами свет - это день.
Ну, а я всегда любил ночь.
И это мое дело - любить ночь,
И это мое право - уйти в тень.

Я люблю ночь за то, что в ней меньше машин,
Я люблю дым и пепел своих папирос,
Я люблю кухни за то, что они хранят тайны,
Я люблю свой дом, но вряд ли это всерьез.

И эта ночь и ее электрический свет
Бьет мне в глаза,
И эта ночь и ее электрический свет
Бьет мне в окно,
И эта ночь и ее электрический голос
Манит меня к себе,
И я не знаю, как мне прожить
Следующий день.

Я один, но это не значит, что я одинок,
Мой магнитофон хрипит о радостях дня,
Я помню, что завтра меня ждет несколько встреч,
И кофе в известном кафе согреет меня.

И эта ночь и ее электрический свет
Бьет мне в глаза,
И эта ночь и ее электрический свет
Бьет мне в окно,
И эта ночь и ее электрический голос
Манит меня к себе,
И я не знаю, как мне прожить
Следующий день.",кино ночь окно солнце окно свет это день любить ночь это дело любить ночь это право уйти тень любить ночь меньше машина любить дым пепел свой папироса любить кухня хранить тайна любить свой дом вряд это всерьез ночь электрический свет бить глаз ночь электрический свет бить окно ночь электрический голос манить знать прожить следующий день это значить одинокий магнитофон хрипеть радость день помнить завтра ждать несколько встреча кофе известный кафе согреть ночь электрический свет бить глаз ночь электрический свет бить окно ночь электрический голос манить знать прожить следующий день
"Кино - стук
Струн провода, ток по рукам,
Телефон на все голоса говорит:
-""Пока-а!"" Пора...
И пальто на гвозде, шарф в рукаве
И перчатки в карманах шепчут:
-""Подожди до утра!"" До утра...

Но странный стук зовет: ""В дорогу!""
Может сердца, а может стук в дверь.
И, когда я обернусь на пороге,
Я скажу одно лишь слово: ""Верь!""

И опять на вокзал, и опять к поездам,
И опять проводник выдаст белье и чай,
И опять не усну, и опять сквозь грохот колес
Мне послышится слово: ""Прощай!""

Но странный стук зовет: ""В дорогу!""
Может сердца, а может стук в дверь.
И, когда я обернусь на пороге,
Я скажу одно лишь слово ...",кино стук струна провод ток рука телефон весь голос говорить пока пора пальто гвоздь шарф рукав перчатка карман шепчут подождать утро утро странный стук звать дорога мочь сердце мочь стук дверь обернуться порог сказать лишь слово верить вокзал поезд проводник выдать белье чай уснуть сквозь грохот колесо послышаться слово прощать странный стук звать дорога мочь сердце мочь стук дверь обернуться порог сказать лишь слово
"Кино - троллейбус
Мое место слева, и я должен там сесть,
Не пойму, почему мне так холодно здесь,
Я не знаком с соседом, хоть мы вместе уж год.
И мы тонем, хотя каждый знает, где брод.
И каждый с надеждой глядит в потолок
Троллейбуса, который идет на восток.
Троллейбуса, который идет на восток.
Троллейбуса, который...

Все люди - братья, мы - седьмая вода,
И мы едем, не знаю, зачем и куда.
Мой сосед не может, он хочет уйти,
Но он не может уйти, он не знает пути,
И вот мы гадаем, какой может быть прок
В троллейбусе, который идет на восток.
В троллейбусе, который идет на восток.
В троллейбусе, который...

В кабине нет шофера, но троллейбус идет,
И мотор заржавел, но мы едем вперед,
Мы сидим не дыша, смотрим туда,
Где на долю секунды показалась звезда,
Мы молчим, но мы знаем, нам в этом помог,
Троллейбус, который идет на восток.
Троллейбус, который идет на восток.
Троллейбус, который...",кино троллейбус место слева должный сесть понять почему холодный знакомый сосед вместе год тонуть хотя каждый знать брод каждый надежда глядеть потолок троллейбус который идти восток троллейбус который идти восток троллейбус который весь человек брат седьмой вода ехать знать сосед мочь хотеть уйти мочь уйти знать путь гадать мочь прок троллейбус который идти восток троллейбус который идти восток троллейбус который кабина шофер троллейбус идти мотор заржаветь ехать вперед сидеть дышать смотреть туда доля секунда показаться звезда молчать знать это помочь троллейбус который идти восток троллейбус который идти восток троллейбус который
"Кино -муравейник
Начинается новый день
И машины туда-сюда...
Раз уж солнцу вставать не лень,
И для нас, значит, ерунда.
Муравейник живет,
Кто-то лапку сломал - не в счет,
А до свадьбы заживет,
А помрет - так помрет...

Я не люблю, когда мне врут,
Но от правды я тоже устал,
Я пытался найти приют,
Говорят, что плохо искал.
И я не знаю, каков процент
Сумасшедших на данный час,
Но, если верить глазам и ушам -
Больше в несколько раз...

И мы могли бы вести войну
Против тех, кто против нас,
Так как те, кто против тех, кто против нас,
Не справляются с ними без нас.
Наше будущее - туман,
В нашем прошлом - то ад, то рай,
Наши деньги не лезут в карман,
Вот и утро - вставай!

Я не люблю, когда мне врут,
Но от правды я тоже устал,
Я пытался найти приют,
Говорят, что плохо искал.
И я не знаю, каков процент
Сумасшедших на данный час,
Но, если верить глазам и ушам -
Больше в несколько раз...",кино муравейник начинаться новый день машина туда сюда солнце вставать лень значить ерунда муравейник жить лапка сломать счет свадьба зажить помереть помрет любить врать правда устать пытаться найти приют говорить плохо искать знать каков процент сумасшедший данный час верить глаз ухо большой несколько мочь вести война против против против против справляться наш будущее туман наш прошлое рай наш деньга лезть карман утро вставать любить врать правда устать пытаться найти приют говорить плохо искать знать каков процент сумасшедший данный час верить глаз ухо большой несколько
"Кино - Звезды останутся здесь
Не люблю темные стекла,
Сквозь них темное небо.
Дайте мне войти, откройте двери.
Мне снится Черное море,
Теплое Черное море,
За окнами дождь, но я в него не верю.

И я попал в сеть,
И мне из нее не уйти,
Твой взгляд бьет меня, словно ток.
Звезды упав, все останутся здесь,
Навсегда останутся здесь.

В каждом из нас спит волк,
В каждом из нас спит зверь,
Я слышу его рычанье, когда танцую.
В каждом из нас что-то есть,
Но я не могу взять в толк,
Почему мы стоим, а места вокруг нас пустуют.

И я попал в сеть,
И мне из нее не уйти,
Твой взгляд бьет меня, словно ток.
Звезды упав, все останутся здесь,
Навсегда останутся здесь.",кино звезда остаться любить темный стекло сквозь темный небо дать войти открыть дверь сниться черный море теплый черный море окно дождь верить попасть сеть уйти твой взгляд бить словно ток звезда упасть весь остаться навсегда остаться каждый спать волк каждый спать зверь слышать рычание танцевать каждый мочь взять толк почему стоить место вокруг пустовать попасть сеть уйти твой взгляд бить словно ток звезда упасть весь остаться навсегда остаться
"Кино -  кончится лето
Я выключаю телевизор, я пишу тебе письмо
Про то, что больше не могу смотреть на дерьмо,
Про то, что больше нет сил,
Про то, что я почти запил, но не забыл тебя.
Про то, что телефон звонил, хотел, чтобы я встал,
Оделся и пошел, а точнее, побежал,
Но только я его послал,
Сказал, что болен и устал, и эту ночь не спал.

Я жду ответа, больше надежд нету.
Скоро кончится лето.
Это...

А с погодой повезло - дождь идет четвертый день,
Хотя по радио сказали - жаркой будет даже тень.
Но, впрочем, в той тени, где я,
Пока и сухо и тепло, но я боюсь пока...
А дни идут чередом - день едим, а три пьем,
И вообщем весело живем, хотя и дождь за окном.
Магнитофон сломался,
Я сижу в тишине, чему и рад вполне.

Я жду ответа, больше надежд нету.
Скоро кончится лето.
Это...

За окном идет стройка - работает кран,
И закрыт пятый год за углом ресторан.
А на столе стоит банка,
А в банке тюльпан, а на окне - стакан.
И так уйдут за годом год, так и жизнь пройдет,
И в сотый раз маслом вниз упадет бутерброд.
Но может будет хоть день,
Может будет хоть час, когда нам повезет.

Я жду ответа, больше надежд нету.
Скоро кончится лето.
Это...",кино кончиться лето выключать телевизор писать письмо большой мочь смотреть дерьмо большой сила запить забыть телефон звонить хотеть встать одеться пойти точный побежать послать сказать больной устать ночь спать ждать ответ надежда нету скоро кончиться лето это погода повезти дождь идти четвертый день хотя радио сказать жаркий тень тень пока сухо тепло бояться пока день идти черед день едим пить вообщем весело жить хотя дождь окно магнитофон сломаться сидеть тишина рад вполне ждать ответ надежда нету скоро кончиться лето это окно идти стройка работать кран закрыть пятый год угол ресторан стол стоить банк банк тюльпан окно стакан уйти год год жизнь пройти сотый масло вниз упасть бутерброд мочь день мочь час повезти ждать ответ надежда нету скоро кончиться лето это
"Кино - Бошетунмай
Тот, кто в пятнадцать лет убежал из дома,
Вряд ли поймет того, кто учился в спецшколе.
Тот, у кого есть хороший жизненный план,
Вряд ли будет думать о чем-то другом.
Мы пьем чай в старых квартирах,
Ждем лета в старых квартирах,
В старых квартирах, где есть свет,
Газ, телефон, горячая вода,
Радиоточка, пол - паркет,
Санузел раздельный, дом кирпичный,
Одна семья, две семьи, три семьи...
Много подсобных помещений,
Первый и последний - не предлагать,
Рядом с метро, центр...

Бошентумай...

Все говорят, что мы в-месте...
Все говорят, но немногие знают, в каком.
А из наших труб идет необычный дым.
Стой! Опасная зона! Работа мозга!..
Бошентумай...",кино бошетунмать пятнадцать год убежать дом вряд понять учиться спецшкола хороший жизненный план вряд думать пить чай старый квартира ждать лето старый квартира старый квартира свет газ телефон горячий вода радиоточка пол паркет санузел раздельный дом кирпичный семья семья семья подсобный помещение первый последний предлагать рядом метро центр бошентумай весь говорить место весь говорить немногие знать наш труба идти необычный дым стоить опасный зона работа мозг бошентумай
